taz1454,job_count,da_15,da_30,da_45,walk_15,walk_30,walk_45,bike_15,bike_30,bike_45,wTrnW_15,wTrnW_30,wTrnW_45
1372.0,158,74623.0,120648.0,171053.0,158,4912.0,16831.0,23669.0,59901.0,78700.0,0,148,30436.0
1373.0,2679,68312.0,119888.0,167292.0,0,2679.0,9829.0,19019.0,50159.0,75951.0,0,0,13548.0
1374.0,4606,78827.0,120648.0,185816.0,4606,4764.0,19507.0,34335.0,60462.0,85588.0,0,8717,25368.0
1375.0,2396,65827.0,121694.0,179167.0,0,2396.0,9414.0,18343.0,59901.0,87099.0,0,462,14572.0
1376.0,1792,78827.0,120804.0,201604.0,1792,2254.0,19788.0,34452.0,61982.0,79173.0,0,11993,28034.0
1377.0,462,72780.0,121850.0,204006.0,462,2254.0,9455.0,23341.0,57993.0,79554.0,0,0,21311.0
1378.0,1139,70031.0,120804.0,189979.0,0,1139.0,10496.0,20787.0,60462.0,77684.0,0,6925,22441.0
1379.0,178,74543.0,126561.0,213332.0,0,178.0,1317.0,25365.0,48885.0,75597.0,0,6925,23537.0
1380.0,6311,46341.0,117260.0,183081.0,0,6311.0,6311.0,10155.0,48891.0,75332.0,0,0,0.0
1381.0,3666,62278.0,119802.0,188218.0,0,3666.0,4128.0,13548.0,55319.0,78967.0,0,0,8526.0
1382.0,902,57057.0,119571.0,169694.0,0,902.0,902.0,3298.0,46492.0,78482.0,0,0,0.0
1383.0,1119,4357.0,97531.0,131988.0,0,1119.0,1119.0,3868.0,3868.0,14313.0,0,0,0.0
1384.0,2749,5082.0,99884.0,141854.0,0,2749.0,2749.0,3868.0,4593.0,22173.0,0,0,0.0
1385.0,725,5912.0,111230.0,157429.0,0,0.0,725.0,725.0,4793.0,25163.0,0,0,0.0
1386.0,1016,13607.0,101298.0,176765.0,0,0.0,1016.0,1016.0,13607.0,30835.0,0,0,0.0
1387.0,303,9463.0,96743.0,196116.0,0,0.0,303.0,303.0,13607.0,27480.0,0,0,0.0
1388.0,262,262.0,77828.0,125072.0,0,0.0,0.0,0.0,262.0,2033.0,0,0,0.0
1389.0,1046,1046.0,13393.0,111252.0,0,0.0,0.0,0.0,1046.0,1308.0,0,0,0.0
1390.0,314,1074.0,7528.0,104032.0,0,0.0,0.0,314.0,1074.0,1863.0,0,0,0.0
1391.0,760,1863.0,18914.0,102771.0,0,0.0,0.0,760.0,1863.0,1863.0,0,0,0.0
1392.0,789,2038.0,74364.0,117694.0,0,0.0,789.0,789.0,2038.0,4553.0,0,0,0.0
1393.0,489,6228.0,90235.0,125078.0,0,0.0,489.0,489.0,1278.0,15024.0,0,0,0.0
1394.0,1082,17466.0,103315.0,137960.0,0,0.0,0.0,1082.0,16170.0,20472.0,0,0,0.0
1395.0,2505,52582.0,115326.0,150773.0,0,2505.0,3269.0,4076.0,13954.0,55418.0,0,0,0.0
1396.0,764,16977.0,99081.0,143738.0,0,764.0,3269.0,3269.0,13954.0,36778.0,0,0,0.0
1397.0,1111,5240.0,81157.0,124263.0,0,0.0,1111.0,1111.0,5240.0,9591.0,0,0,0.0
1398.0,399,5240.0,83598.0,124263.0,0,399.0,3422.0,4129.0,5240.0,10723.0,0,0,0.0
1399.0,3023,10723.0,91943.0,132826.0,0,3023.0,3422.0,4129.0,6322.0,19519.0,0,0,0.0
1400.0,707,5240.0,79394.0,124263.0,0,707.0,707.0,4129.0,5240.0,6322.0,0,0,0.0
1401.0,1132,1132.0,58380.0,118371.0,0,0.0,0.0,0.0,1132.0,4554.0,0,0,0.0
1402.0,1586,1586.0,7958.0,81157.0,0,0.0,0.0,1586.0,1586.0,1586.0,0,0,0.0
1403.0,516,516.0,516.0,516.0,0,0.0,0.0,0.0,516.0,516.0,0,0,0.0
