,HHPER,HHPERTRIP,origin,origin_dwell,origin_ST,origin_ET,trip_ET,TT,MODE
3868,14631873,1463187301.0,home,13.0,18.75,7.75,8.25,0.5,shared
3869,14631873,1463187311.0,school,6.183333333333334,8.25,14.433333333333334,18.75,4.316666666666666,shared
3870,14631874,1463187401.0,home,13.0,18.75,7.75,8.416666666666666,0.6666666666666661,shared
3871,14631874,1463187411.0,school,6.916666666666668,8.416666666666666,15.333333333333334,18.75,3.416666666666666,shared
3872,14634214,1463421401.0,home,13.799999999999999,17.733333333333334,7.533333333333333,7.6,0.06666666666666643,shared
3873,14634214,1463421411.0,school,10.1,7.6,17.7,17.733333333333334,0.03333333333333499,shared
3874,14634215,1463421501.0,home,13.799999999999999,17.733333333333334,7.533333333333333,7.6,0.06666666666666643,shared
3875,14634215,1463421511.0,school,7.4,7.6,15.0,17.733333333333334,2.7333333333333343,shared
3876,14634231,1463423101.0,home,,,7.216666666666667,10.233333333333333,3.0166666666666657,DrTranW
3877,14634231,1463423111.0,school,2.2666666666666675,10.233333333333333,12.5,,,WTranW
3878,14634234,1463423401.0,home,15.35,15.866666666666667,7.216666666666667,7.633333333333333,0.4166666666666661,shared
3879,14634234,1463423411.0,school,7.800000000000001,7.633333333333333,15.433333333333334,15.866666666666667,0.43333333333333357,shared
3880,14635394,1463539401.0,home,18.5,21.5,16.0,16.5,0.5,drive_alone
3881,14635394,1463539411.0,school,4.5,16.5,21.0,21.5,0.5,drive_alone
3882,14636653,1463665301.0,home,13.05,17.583333333333332,6.633333333333333,7.416666666666667,0.7833333333333341,shared
3883,14636653,1463665311.0,school,7.083333333333333,7.416666666666667,14.5,17.583333333333332,3.083333333333332,shared
3884,14636654,1463665401.0,home,15.333333333333334,15.666666666666666,7.0,8.25,1.25,WTranW
3885,14636654,1463665411.0,school,6.5,8.25,14.75,15.666666666666666,0.9166666666666661,WTranW
3886,14636655,1463665501.0,home,15.333333333333334,15.666666666666666,7.0,8.25,1.25,WTranW
3887,14636655,1463665511.0,school,6.5,8.25,14.75,15.666666666666666,0.9166666666666661,WTranW
3888,14637395,1463739501.0,home,16.0,15.75,7.75,7.816666666666666,0.06666666666666643,shared
3889,14637395,1463739511.0,school,7.35,7.816666666666666,15.166666666666666,15.75,0.5833333333333339,walk
3890,14638313,1463831301.0,home,10.25,20.833333333333332,7.083333333333333,7.166666666666667,0.08333333333333393,shared
3891,14638313,1463831311.0,school,8.083333333333332,7.166666666666667,15.25,20.833333333333332,5.583333333333332,shared
3892,14638314,1463831401.0,home,10.25,20.833333333333332,7.083333333333333,7.166666666666667,0.08333333333333393,shared
3893,14638314,1463831411.0,school,8.05,7.166666666666667,15.216666666666667,20.833333333333332,5.616666666666665,shared
3894,14638723,1463872301.0,home,18.0,16.75,10.75,11.5,0.75,drive_alone
3895,14638723,1463872311.0,school,0.8333333333333339,11.5,12.333333333333334,16.75,4.416666666666666,drive_alone
3896,14638953,1463895301.0,home,17.683333333333334,14.2,7.883333333333333,7.916666666666667,0.0333333333333341,walk
3897,14638953,1463895311.0,school,6.249999999999999,7.916666666666667,14.166666666666666,14.2,0.033333333333333215,walk
3898,14638954,1463895401.0,home,16.7,16.05,8.75,8.9,0.15000000000000036,shared
3899,14638954,1463895411.0,school,6.799999999999999,8.9,15.7,16.05,0.3500000000000014,WSBusW
3900,14642163,1464216301.0,home,13.466666666666665,17.166666666666668,6.633333333333333,6.666666666666667,0.0333333333333341,shared
3901,14642163,1464216311.0,school,10.333333333333332,6.666666666666667,17.0,17.166666666666668,0.16666666666666785,shared
3902,14642164,1464216401.0,home,17.166666666666668,14.666666666666666,7.833333333333333,7.916666666666667,0.08333333333333393,walk
3903,14642164,1464216411.0,school,6.666666666666667,7.916666666666667,14.583333333333334,14.666666666666666,0.08333333333333215,walk
3904,14644754,1464475401.0,home,13.816666666666666,18.683333333333334,8.5,8.583333333333334,0.08333333333333393,shared
3905,14644754,1464475411.0,school,9.749999999999998,8.583333333333334,18.333333333333332,18.683333333333334,0.3500000000000014,shared
3906,14645464,1464546401.0,home,13.433333333333334,18.366666666666667,7.8,7.866666666666667,0.06666666666666732,shared
3907,14645464,1464546411.0,school,10.433333333333334,7.866666666666667,18.3,18.366666666666667,0.06666666666666643,shared
3908,14646373,1464637301.0,home,17.866666666666667,14.633333333333333,8.5,9.166666666666666,0.6666666666666661,drive_alone
3909,14646373,1464637311.0,school,4.833333333333334,9.166666666666666,14.0,14.633333333333333,0.6333333333333329,drive_alone
3910,14646374,1464637401.0,home,18.2,17.416666666666668,11.616666666666667,12.883333333333333,1.2666666666666657,WTranW
